# Audiofrog official car-audio target curve (Andy Wehmeyer, 2024 revision)
# Source: audiofrog.com target curve download (OSM hi-res version), fetched 2026-08-30
# 8191 points, 2.93-23997 Hz linear grid, dB values not normalized
1412.11,-1.15669
1415.04,-1.1602
1417.97,-1.16372
1420.9,-1.16724
1423.83,-1.17076
1426.76,-1.17428
1429.69,-1.17779
1432.62,-1.18131
1435.55,-1.18483
1438.48,-1.18835
1441.41,-1.19187
1444.34,-1.19539
1447.27,-1.19891
1450.2,-1.20243
1453.13,-1.20595
1456.05,-1.20947
1458.98,-1.21299
1461.91,-1.21651
1464.84,-1.22003
1467.77,-1.22355
1470.7,-1.22707
1473.63,-1.2306
1476.56,-1.23411
1479.49,-1.23763
1482.42,-1.24115
1485.35,-1.24467
1488.28,-1.24819
1491.21,-1.25171
1494.14,-1.25523
1497.07,-1.25875
1500,-1.26227
1502.93,-1.26579
1505.86,-1.26931
1508.79,-1.27283
1511.72,-1.27635
1514.65,-1.27986
1517.58,-1.28338
1520.51,-1.2869
1523.44,-1.29041
1526.37,-1.29393
1529.3,-1.29745
1532.23,-1.30096
1535.16,-1.30448
1538.09,-1.308
1541.02,-1.31151
1543.95,-1.31502
1546.88,-1.31854
1549.8,-1.32205
1552.73,-1.32556
1555.66,-1.32907
1558.59,-1.33259
1561.52,-1.33609
1564.45,-1.3396
1567.38,-1.34311
1570.31,-1.34662
1573.24,-1.35013
1576.17,-1.35363
1579.1,-1.35714
1582.03,-1.36065
1584.96,-1.36415
1587.89,-1.36766
1590.82,-1.37116
1593.75,-1.37467
1596.68,-1.37816
1599.61,-1.38167
1602.54,-1.38517
1605.47,-1.38867
1608.4,-1.39216
1611.33,-1.39566
1614.26,-1.39916
1617.19,-1.40266
1620.12,-1.40615
1623.05,-1.40964
1625.98,-1.41313
1628.91,-1.41663
1631.84,-1.42012
1634.77,-1.42361
1637.7,-1.4271
1640.63,-1.43058
1643.55,-1.43407
1646.48,-1.43755
1649.41,-1.44104
1652.34,-1.44453
1655.27,-1.44801
1658.2,-1.45149
1661.13,-1.45497
1664.06,-1.45845
1666.99,-1.46192
1669.92,-1.4654
1672.85,-1.46887
1675.78,-1.47235
1678.71,-1.47582
1681.64,-1.4793
1684.57,-1.48277
1687.5,-1.48623
1690.43,-1.4897
1693.36,-1.49317
1696.29,-1.49663
1699.22,-1.50009
1702.15,-1.50356
1705.08,-1.50702
1708.01,-1.51048
1710.94,-1.51394
1713.87,-1.51739
1716.8,-1.52085
1719.73,-1.5243
1722.66,-1.52775
1725.59,-1.5312
1728.52,-1.53465
1731.45,-1.5381
1734.38,-1.54155
1737.3,-1.54499
1740.23,-1.54844
1743.16,-1.55188
1746.09,-1.55532
1749.02,-1.55876
1751.95,-1.56219
1754.88,-1.56563
1757.81,-1.56906
1760.74,-1.5725
1763.67,-1.57593
1766.6,-1.57936
1769.53,-1.58279
1772.46,-1.58621
1775.39,-1.58964
1778.32,-1.59306
1781.25,-1.59648
1784.18,-1.5999
